num_iter,testloss,trainloss,passeddata
202,0.990507,0.991045,4040000
203,0.990507,0.991045,4060000
204,0.990507,0.991045,4080000
205,0.990507,0.991045,4100000
206,0.990507,0.991045,4120000
207,0.990507,0.991045,4140000
208,0.990507,0.991045,4160000
209,0.990507,0.991045,4180000
210,0.990507,0.991045,4200000
211,0.990507,0.991045,4220000
212,0.990507,0.991045,4240000
213,0.990507,0.991045,4260000
214,0.990507,0.991045,4280000
215,0.990507,0.991045,4300000
216,0.990507,0.991045,4320000
217,0.990507,0.991045,4340000
